tick,reference_kpa,sensed_kpa
3446,200,236.694
3450,200,236.998
3454,200,237.302
3458,200,237.302
3462,200,236.39
3466,200,236.998
3470,200,234.869
3474,200,232.131
3478,200,235.173
3482,200,236.694
3486,200,237.302
3490,200,237.302
3494,200,237.607
3498,200,235.477
3502,200,231.827
3506,200,230.002
3510,200,232.435
3514,200,233.044
3518,200,230.002
3522,200,232.131
3526,200,233.348
3530,200,233.348
3534,200,232.131
3538,200,233.652
3542,200,234.26
3546,200,235.477
3550,200,236.39
3554,200,236.694
3558,200,235.781
3562,200,235.477
3566,200,232.131
3570,200,228.785
3574,200,232.435
3578,200,233.956
3582,200,235.173
3586,200,233.348
3590,200,233.652
3594,200,234.565
3598,200,235.477
3602,200,235.477
3606,200,235.781
3610,200,236.086
3614,200,235.781
3618,200,235.477
3622,200,235.477
3626,200,235.781
3630,200,235.781
3634,200,234.869
3638,200,234.869
3642,200,235.781
3646,200,236.39
3650,200,236.39
3654,200,236.39
3658,200,236.694
3662,200,236.998
3666,200,236.694
3670,200,236.086
3674,200,236.39
3678,200,236.39
3682,200,236.086
3686,200,236.086
3690,200,236.39
3694,200,235.477
3698,200,235.781
3702,200,235.781
3706,200,235.477
3710,200,234.869
3714,200,234.565
3718,200,234.869
3722,200,235.477
3726,200,235.477
3730,200,234.26
3734,200,230.61
3738,200,230.61
3742,200,233.044
3746,200,234.26
3750,200,231.218
3754,200,231.523
3758,200,232.739
3762,200,233.652
3766,200,234.26
3770,200,234.869
3774,200,235.477
3778,200,235.477
3782,200,235.477
3786,200,234.869
3790,200,234.565
3794,200,233.348
3798,200,231.523
3802,200,233.348
3806,200,232.739
3810,200,232.739
3814,200,233.348
3818,200,233.956
3822,200,234.26
3826,200,234.565
3830,200,234.869
3834,200,234.565
3838,200,234.26
3842,200,233.956
3846,200,234.565
3850,200,234.869
3854,200,234.869
3858,200,234.869
